date,region,category,channel,units_sold,unit_price,revenue
2025-04-22,West,Sports,Online,6,55.16,330.96
2025-11-07,North,Electronics,Online,5,310.74,2175.18
2025-08-11,South,Clothing,In-Store,4,38.35,153.4
2025-04-28,North,Clothing,In-Store,6,54.98,329.88
2025-12-01,East,Home & Kitchen,Online,4,74.56,417.54
2025-04-28,West,Clothing,Online,1,47.79,47.79
2025-01-01,South,Sports,Online,6,54.7,328.2
2025-12-22,North,Clothing,Online,2,46.43,130.0
2025-09-18,East,Clothing,Online,2,39.83,79.66
2025-11-15,North,Electronics,Online,7,259.66,2544.67
2025-04-04,East,Beauty,In-Store,4,30.4,121.6
2025-05-17,South,Electronics,Online,6,217.31,1303.86
2025-12-15,West,Sports,In-Store,4,54.93,307.61
2025-08-01,North,Sports,In-Store,2,72.79,145.58
2025-03-30,North,Home & Kitchen,In-Store,7,90.84,635.88
2025-10-15,East,Home & Kitchen,Online,7,84.09,588.63
2025-06-02,North,Sports,Online,6,52.6,315.6
2025-04-14,East,Clothing,Online,3,49.55,148.65
2025-02-11,West,Electronics,In-Store,1,265.85,265.85
2025-08-19,East,Sports,Online,1,67.97,67.97
2025-10-16,South,Electronics,In-Store,5,300.18,1500.9
2025-12-19,South,Sports,Online,4,61.97,347.03
2025-07-03,East,Sports,Online,7,60.81,425.67
2025-06-22,South,Electronics,Online,4,266.77,1067.08
2025-10-26,East,Clothing,Online,2,44.42,88.84
2025-05-14,West,Clothing,Online,3,41.01,123.03
2025-05-21,West,Clothing,Online,7,51.32,359.24
2025-06-20,West,Electronics,In-Store,5,304.75,1523.75
2025-11-24,East,Electronics,Online,2,219.39,614.29
2025-02-20,North,Electronics,In-Store,3,257.58,772.74
2025-10-29,North,Beauty,In-Store,6,35.55,213.3
2025-01-01,East,Clothing,Online,7,45.43,318.01
2025-11-05,North,Electronics,In-Store,2,245.85,688.38
2025-03-04,West,Clothing,In-Store,2,46.63,93.26
2025-12-13,North,Home & Kitchen,Online,3,72.51,304.54
2025-06-01,North,Clothing,Online,1,44.77,44.77
2025-03-04,East,Home & Kitchen,Online,5,,422.45
2025-12-03,West,Clothing,Online,6,39.79,334.24
2025-07-08,West,Clothing,Online,5,45.4,227.0
2025-07-30,South,Electronics,Online,5,250.27,1251.35
2025-05-24,West,Home & Kitchen,Online,3,82.51,247.53
2025-07-13,South,Clothing,Online,6,,312.18
2025-05-12,North,Clothing,Online,3,44.97,134.91
2025-06-11,West,Sports,In-Store,2,71.81,143.62
2025-01-08,North,Home & Kitchen,Online,7,89.5,626.5
2025-11-24,South,Clothing,Online,3,50.0,210.0
2025-09-21,South,Sports,In-Store,6,70.93,425.58
2025-06-14,South,Electronics,Online,2,213.8,427.6
2025-09-20,North,Electronics,Online,5,300.14,1500.7
2025-10-12,West,Home & Kitchen,In-Store,5,78.94,394.7
2025-08-22,East,Clothing,Online,4,53.2,212.8
2025-10-20,South,Sports,Online,5,58.07,290.35
2025-12-08,West,Electronics,In-Store,3,301.96,1268.23
2025-05-08,West,Clothing,Online,6,51.6,309.6
2025-08-25,North,Electronics,Online,3,254.67,764.01
2025-06-03,South,Beauty,In-Store,5,,128.6
2025-05-26,West,Electronics,Online,6,219.22,1315.32
2025-06-14,North,Clothing,In-Store,5,38.45,192.25
2025-01-27,North,Electronics,In-Store,2,272.55,545.1
2025-11-05,East,Home & Kitchen,In-Store,5,80.26,561.82
2025-05-02,South,Electronics,Online,3,230.94,692.82
2025-06-30,West,Sports,Online,3,57.93,173.79
2025-06-13,North,Home & Kitchen,Online,6,83.23,499.38
2025-04-21,West,Beauty,In-Store,1,28.74,28.74
2025-08-27,West,Electronics,In-Store,1,262.14,262.14
2025-12-31,East,Clothing,In-Store,5,44.45,311.15
2025-10-23,North,Clothing,In-Store,2,46.52,93.04
2025-10-18,East,Electronics,Online,3,239.71,719.13
2025-12-20,West,Clothing,Online,3,55.57,233.39
2025-01-17,South,Home & Kitchen,Online,4,85.34,341.36
2025-08-04,East,Home & Kitchen,In-Store,7,91.17,638.19
2025-07-17,West,Electronics,Online,7,281.82,1972.74
2025-12-31,South,Electronics,In-Store,7,312.44,3061.91
2025-10-09,North,Clothing,Online,7,50.8,355.6
2025-05-17,East,Beauty,In-Store,7,35.04,245.28
2025-08-11,South,Electronics,Online,3,295.39,886.17
2025-09-30,South,Home & Kitchen,Online,4,83.39,333.56
2025-05-11,North,Clothing,Online,7,39.43,276.01
2025-01-15,West,Clothing,In-Store,1,51.53,51.53
2025-06-10,West,Clothing,In-Store,2,38.69,77.38
2025-06-19,South,Electronics,In-Store,5,250.9,1254.5
2025-04-06,East,Electronics,Online,5,289.22,1446.1
2025-11-14,North,Clothing,Online,4,55.96,313.38
2025-09-23,South,Clothing,Online,5,51.43,257.15
2025-06-26,East,Clothing,Online,2,43.58,87.16
2025-10-20,North,Electronics,In-Store,7,255.28,1786.96
2025-11-01,North,Home & Kitchen,Online,2,93.54,261.91
2025-07-17,East,Sports,In-Store,3,72.69,218.07
2025-08-14,North,Home & Kitchen,Online,4,94.81,379.24
2025-11-06,North,Sports,Online,3,55.24,232.01
2025-08-06,North,Electronics,In-Store,6,292.58,1755.48
2025-02-23,East,Electronics,Online,4,311.99,1247.96
2025-03-02,East,Clothing,In-Store,6,56.18,337.08
2025-01-03,West,Clothing,Online,5,47.92,239.6
2025-11-25,West,Home & Kitchen,Online,1,,112.73
2025-05-03,West,Clothing,Online,2,53.77,107.54
2025-01-09,East,Home & Kitchen,Online,3,77.0,231.0
2025-05-04,East,Electronics,In-Store,2,265.76,531.52
2025-02-06,West,Electronics,In-Store,5,297.62,1488.1
2025-02-09,North,Clothing,Online,2,48.53,97.06
2025-02-09,South,Clothing,In-Store,1,54.07,54.07
2025-05-27,West,Home & Kitchen,In-Store,3,,219.39
2025-09-26,East,Electronics,In-Store,4,274.36,1097.44
2025-07-07,East,Sports,In-Store,1,51.7,51.7
2025-01-23,South,Electronics,Online,6,303.37,1820.22
2025-03-23,West,Home & Kitchen,In-Store,4,68.2,272.8
2025-08-12,North,Home & Kitchen,In-Store,1,71.71,71.71
2025-12-20,West,Electronics,In-Store,6,240.83,2022.97
2025-03-15,North,Beauty,Online,4,27.65,110.6
2025-02-06,North,Sports,Online,4,52.63,210.52
2025-08-07,West,Home & Kitchen,Online,2,83.15,166.3
2025-01-22,South,Electronics,In-Store,6,309.85,1859.1
2025-10-12,West,Home & Kitchen,Online,5,80.28,401.4
2025-01-29,East,Sports,Online,3,57.06,171.18
2025-01-26,South,Electronics,In-Store,1,222.72,222.72
2025-02-08,East,Sports,In-Store,4,71.16,284.64
2025-06-24,South,Electronics,Online,3,307.59,922.77
2025-08-24,West,Clothing,In-Store,5,49.74,248.7
2025-09-19,East,Electronics,In-Store,1,244.57,244.57
2025-01-15,South,Electronics,Online,1,283.99,283.99
2025-10-01,East,Clothing,Online,4,41.59,166.36
2025-05-25,North,Sports,In-Store,6,63.73,382.38
2025-07-18,East,Sports,Online,4,74.22,296.88
2025-02-15,East,Clothing,Online,1,49.18,49.18
2025-12-06,West,Home & Kitchen,Online,4,70.05,392.28
2025-04-27,South,Sports,Online,5,54.59,272.95
2025-10-04,South,Home & Kitchen,Online,7,87.2,610.4
2025-02-01,East,Home & Kitchen,In-Store,6,97.05,582.3
2025-09-24,South,Home & Kitchen,Online,4,99.57,398.28
2025-06-09,East,Clothing,Online,4,44.48,177.92
2025-08-30,West,Electronics,Online,1,247.56,247.56
2025-03-18,West,Clothing,Online,6,48.47,290.82
2025-06-23,South,Sports,Online,7,67.09,469.63
2025-12-26,East,Electronics,In-Store,1,306.12,428.57
2025-12-25,East,Clothing,In-Store,2,49.51,138.63
2025-03-25,South,Home & Kitchen,Online,3,96.63,289.89
2025-11-10,South,Clothing,Online,1,41.2,57.68
2025-01-14,East,Home & Kitchen,Online,4,73.11,292.44
2025-10-28,East,Electronics,In-Store,4,286.93,1147.72
2025-08-09,East,Clothing,Online,4,48.25,193.0
2025-07-30,South,Clothing,Online,3,49.96,149.88
2025-07-21,East,Home & Kitchen,Online,7,74.51,521.57
2025-11-28,North,Sports,In-Store,5,71.31,499.17
2025-10-20,West,Home & Kitchen,In-Store,4,69.28,277.12
2025-06-26,East,Home & Kitchen,Online,5,80.66,403.3
2025-08-16,South,Home & Kitchen,In-Store,7,76.86,538.02
2025-07-05,South,Clothing,Online,2,49.62,99.24
2025-08-13,East,Sports,Online,6,55.31,331.86
2025-01-14,South,Clothing,Online,6,47.11,282.66
2025-11-14,South,Sports,Online,7,59.62,584.28
2025-05-10,East,Electronics,Online,1,252.4,252.4
2025-06-12,North,Electronics,Online,4,225.59,902.36
2025-10-28,East,Clothing,Online,3,46.21,138.63
2025-03-21,South,Clothing,In-Store,1,46.01,46.01
2025-10-03,West,Home & Kitchen,In-Store,6,73.36,440.16
2025-05-01,East,Home & Kitchen,In-Store,5,,465.1
2025-04-30,West,Clothing,In-Store,6,41.96,251.76
2025-11-30,South,Electronics,Online,2,216.43,606.0
2025-04-29,East,Clothing,In-Store,5,40.11,200.55
2025-06-28,South,Home & Kitchen,Online,2,98.88,197.76
2025-10-26,South,Beauty,Online,1,32.46,32.46
2025-07-03,East,Clothing,Online,6,40.76,244.56
2025-05-06,North,Electronics,In-Store,4,279.84,1119.36
2025-12-07,North,Home & Kitchen,Online,6,95.78,804.55
2025-03-27,East,Home & Kitchen,In-Store,2,79.98,159.96
2025-04-24,South,Home & Kitchen,In-Store,1,68.97,68.97
2025-11-24,North,Home & Kitchen,In-Store,3,98.11,412.06
2025-05-22,North,Home & Kitchen,Online,6,89.05,534.3
2025-07-11,South,Clothing,In-Store,1,53.92,53.92
2025-03-14,North,Home & Kitchen,In-Store,4,88.82,355.28
2025-04-12,South,Beauty,Online,2,34.65,69.3
2025-10-06,East,Sports,Online,6,64.07,384.42
2025-03-30,North,Clothing,Online,7,48.39,338.73
2025-11-12,North,Clothing,Online,1,46.25,64.75
2025-04-12,South,Home & Kitchen,Online,6,87.82,526.92
2025-09-22,East,Clothing,In-Store,2,46.88,93.76
2025-04-27,North,Clothing,Online,2,47.73,95.46
2025-10-27,West,Home & Kitchen,In-Store,6,91.9,551.4
2025-12-30,East,Clothing,In-Store,3,38.39,161.24
2025-10-30,North,Sports,Online,3,60.12,180.36
2025-11-20,North,Clothing,Online,6,47.0,394.8
2025-02-21,South,Clothing,In-Store,3,48.71,146.13
2025-04-16,West,Home & Kitchen,Online,5,81.23,406.15
2025-12-11,South,Electronics,In-Store,2,292.48,818.94
2025-06-08,East,Electronics,In-Store,5,238.16,1190.8
2025-02-05,West,Clothing,In-Store,1,44.97,44.97
2025-06-22,South,Electronics,Online,6,294.42,1766.52
2025-08-02,West,Electronics,Online,2,229.98,459.96
2025-05-01,North,Beauty,In-Store,1,28.34,28.34
2025-10-20,West,Electronics,In-Store,4,279.64,1118.56
2025-12-11,South,Sports,Online,7,65.08,637.78
2025-06-24,North,Home & Kitchen,In-Store,7,85.13,595.91
2025-05-30,West,Clothing,Online,7,48.09,336.63
2025-05-18,North,Clothing,Online,6,40.8,244.8
2025-11-16,East,Home & Kitchen,In-Store,2,81.7,228.76
2025-06-16,North,Home & Kitchen,In-Store,4,94.2,376.8
2025-03-09,South,Clothing,In-Store,5,39.68,198.4
2025-08-20,North,Sports,Online,1,56.44,56.44
2025-07-15,North,Clothing,Online,5,39.51,197.55
2025-06-09,North,Electronics,Online,3,265.8,797.4
2025-02-27,East,Electronics,Online,4,278.68,1114.72
2025-07-28,East,Home & Kitchen,Online,6,85.99,515.94
2025-02-05,North,Electronics,In-Store,1,229.55,229.55
2025-04-16,South,Clothing,In-Store,4,44.51,178.04
2025-05-16,West,Clothing,Online,7,45.44,318.08
2025-04-14,South,Beauty,In-Store,4,28.42,113.68
2025-10-13,North,Electronics,Online,7,298.97,2092.79
2025-09-29,West,Sports,In-Store,6,53.82,322.92
2025-05-31,South,Clothing,Online,2,,110.24
2025-11-27,East,Clothing,Online,4,53.97,302.23
2025-09-19,East,Sports,Online,4,71.43,285.72
2025-01-12,East,Clothing,Online,5,45.1,225.5
2025-08-04,South,Sports,In-Store,7,58.31,408.17
2025-03-14,East,Clothing,Online,2,42.28,84.56
2025-07-25,West,Home & Kitchen,In-Store,2,72.24,144.48
2025-11-06,North,Beauty,Online,6,36.28,304.75
2025-08-26,North,Clothing,In-Store,6,40.88,245.28
2025-04-27,South,Electronics,Online,1,235.76,235.76
2025-06-22,West,Sports,Online,4,58.48,233.92
2025-11-30,West,Clothing,Online,6,38.26,321.38
2025-02-12,South,Home & Kitchen,Online,7,69.96,489.72
2025-09-23,North,Electronics,In-Store,5,274.45,1372.25
2025-03-24,North,Electronics,Online,6,239.04,1434.24
2025-09-20,West,Home & Kitchen,Online,4,99.89,399.56
2025-09-30,North,Home & Kitchen,Online,4,88.98,355.92
2025-08-19,South,Electronics,In-Store,6,277.91,1667.46
2025-01-07,East,Clothing,In-Store,5,45.22,226.1
2025-05-13,South,Electronics,Online,5,214.42,1072.1
2025-03-20,North,Sports,Online,7,65.85,460.95
2025-01-13,North,Sports,Online,5,70.24,351.2
2025-06-22,West,Clothing,Online,4,,199.52
2025-11-04,West,Electronics,Online,4,298.97,1674.23
2025-04-22,West,Home & Kitchen,In-Store,5,80.62,403.1
2025-02-11,North,Beauty,Online,1,33.4,33.4
2025-05-09,South,Clothing,Online,2,55.0,110.0
2025-08-20,North,Sports,Online,3,61.8,185.4
2025-03-20,North,Electronics,Online,3,223.07,669.21
2025-03-28,North,Electronics,Online,7,284.13,1988.91
2025-04-19,East,Electronics,Online,5,263.36,1316.8
2025-08-20,South,Clothing,In-Store,4,52.19,208.76
2025-01-28,East,Electronics,Online,6,295.55,1773.3
2025-01-08,West,Clothing,Online,4,54.43,217.72
2025-05-16,West,Electronics,In-Store,7,233.07,1631.49
2025-02-18,West,Home & Kitchen,In-Store,1,98.71,98.71
2025-04-29,South,Sports,Online,4,58.03,232.12
2025-09-15,South,Clothing,In-Store,4,41.07,164.28
2025-01-10,East,Electronics,Online,1,,249.72
2025-11-11,South,Clothing,Online,6,43.18,362.71
2025-08-01,West,Electronics,In-Store,5,241.09,1205.45
2025-02-01,South,Sports,In-Store,1,64.06,64.06
2025-05-29,North,Electronics,In-Store,6,285.35,1712.1
2025-05-15,East,Home & Kitchen,Online,6,92.1,552.6
2025-12-11,South,Clothing,In-Store,2,40.62,113.74
2025-10-10,South,Electronics,Online,4,285.78,1143.12
2025-06-20,North,Home & Kitchen,Online,7,71.39,499.73
2025-01-23,North,Electronics,Online,1,288.61,288.61
2025-04-21,West,Clothing,Online,1,51.6,51.6
2025-01-03,North,Electronics,Online,2,278.26,556.52
2025-01-10,North,Home & Kitchen,Online,3,90.01,270.03
2025-04-22,North,Clothing,Online,2,51.95,103.9
2025-02-23,West,Home & Kitchen,Online,2,92.28,184.56
2025-01-20,East,Sports,In-Store,6,72.04,432.24
2025-04-11,South,Clothing,Online,4,52.3,209.2
2025-08-15,South,Clothing,Online,7,38.31,268.17
2025-02-07,South,Clothing,In-Store,4,45.49,181.96
2025-03-12,West,Clothing,In-Store,5,,243.45
2025-02-24,West,Home & Kitchen,Online,2,87.18,174.36
2025-06-08,West,Sports,Online,6,54.58,327.48
2025-06-01,North,Home & Kitchen,In-Store,5,93.24,466.2
2025-07-11,East,Clothing,Online,7,51.49,360.43
2025-05-26,East,Electronics,Online,3,289.16,867.48
2025-11-09,West,Electronics,Online,6,276.12,2319.41
2025-08-28,East,Electronics,Online,6,287.22,1723.32
2025-12-25,North,Beauty,Online,4,29.85,167.16
2025-02-19,East,Electronics,Online,6,271.15,1626.9
2025-07-17,North,Beauty,In-Store,3,28.61,85.83
2025-10-29,South,Sports,In-Store,5,62.54,312.7
2025-03-15,West,Clothing,Online,4,39.15,156.6
2025-10-22,South,Beauty,In-Store,4,34.69,138.76
2025-07-01,South,Home & Kitchen,Online,7,97.52,682.64
2025-02-05,North,Electronics,Online,6,216.13,1296.78
2025-06-12,East,Beauty,Online,6,30.65,183.9
2025-08-05,North,Electronics,Online,4,215.86,863.44
2025-03-25,South,Beauty,Online,4,29.28,117.12
2025-01-07,South,Sports,Online,3,74.12,222.36
2025-05-23,West,Beauty,Online,4,34.95,139.8
2025-05-22,North,Clothing,In-Store,5,50.03,250.15
2025-08-06,North,Home & Kitchen,Online,1,98.31,98.31
2025-06-10,South,Home & Kitchen,Online,1,95.22,95.22
2025-10-16,North,Beauty,Online,4,34.17,136.68
2025-06-18,East,Home & Kitchen,Online,6,75.24,451.44
2025-04-08,North,Clothing,Online,6,53.55,321.3
2025-03-07,South,Clothing,Online,5,51.74,258.7
2025-03-17,West,Sports,Online,3,62.02,186.06
2025-07-11,East,Sports,Online,7,71.93,503.51
2025-06-03,East,Sports,In-Store,7,,391.44
2025-08-01,East,Sports,In-Store,3,73.72,221.16
2025-06-17,South,Sports,Online,2,52.56,105.12
2025-09-11,East,Beauty,Online,4,35.08,140.32
2025-06-16,West,Clothing,Online,3,52.21,156.63
2025-11-03,East,Electronics,Online,4,291.79,1634.02
2025-06-13,North,Home & Kitchen,In-Store,7,74.27,519.89
2025-08-26,West,Clothing,Online,6,52.53,315.18
2025-09-20,West,Sports,In-Store,2,55.05,110.1
2025-08-08,North,Electronics,Online,4,294.54,1178.16
2025-04-11,West,Sports,In-Store,3,72.18,216.54
2025-01-12,East,Clothing,In-Store,7,,328.93
2025-01-21,South,Home & Kitchen,Online,6,99.35,596.1
2025-02-28,East,Electronics,In-Store,3,265.24,795.72
2025-10-08,West,Sports,Online,5,74.36,371.8
2025-09-22,West,Beauty,Online,4,29.27,117.08
2025-12-30,West,Clothing,Online,6,53.16,446.54
2025-10-13,South,Electronics,Online,2,222.56,445.12
2025-06-12,West,Beauty,In-Store,2,34.49,68.98
2025-10-06,West,Home & Kitchen,In-Store,4,83.08,332.32
2025-09-28,East,Home & Kitchen,Online,2,78.4,156.8
2025-09-05,West,Home & Kitchen,Online,4,75.27,301.08
2025-09-04,East,Electronics,Online,2,,527.54
2025-10-21,East,Electronics,Online,5,253.33,1266.65
2025-05-22,West,Sports,In-Store,3,52.42,157.26
2025-07-26,South,Home & Kitchen,In-Store,3,85.93,257.79
2025-04-01,South,Clothing,Online,4,45.12,180.48
2025-07-09,East,Clothing,In-Store,3,45.86,137.58
2025-10-08,West,Home & Kitchen,In-Store,7,72.08,504.56
2025-03-24,South,Beauty,In-Store,1,35.57,35.57
2025-06-22,East,Home & Kitchen,Online,4,94.54,378.16
2025-10-02,East,Clothing,Online,5,47.98,239.9
2025-10-13,North,Electronics,Online,1,294.95,294.95
2025-11-05,East,Electronics,In-Store,1,217.31,304.23
2025-03-09,West,Sports,In-Store,6,59.17,355.02
2025-04-30,East,Home & Kitchen,Online,6,93.43,560.58
2025-06-07,West,Home & Kitchen,In-Store,2,86.35,172.7
2025-05-29,North,Electronics,Online,4,223.99,895.96
2025-07-20,North,Electronics,In-Store,2,300.4,600.8
2025-03-06,West,Clothing,Online,4,54.64,218.56
2025-06-23,East,Electronics,Online,4,256.84,1027.36
2025-08-20,North,Home & Kitchen,Online,5,88.47,442.35
2025-11-07,East,Electronics,Online,4,261.27,1463.11
2025-12-08,West,Beauty,Online,7,37.31,365.64
2025-03-13,East,Clothing,In-Store,2,44.76,89.52
2025-09-25,South,Electronics,Online,4,259.46,1037.84
2025-04-03,North,Clothing,Online,3,46.3,138.9
2025-12-06,West,Home & Kitchen,Online,1,68.25,95.55
2025-07-09,West,Electronics,Online,2,258.79,517.58
2025-09-02,North,Electronics,Online,6,305.68,1834.08
2025-09-22,West,Electronics,Online,5,247.02,1235.1
2025-07-02,North,Electronics,In-Store,6,311.78,1870.68
2025-11-29,East,Electronics,Online,4,285.49,1598.74
2025-03-13,West,Home & Kitchen,Online,5,77.9,389.5
