date,region,category,channel,units_sold,unit_price,revenue,month,month_name,quarter,weekday,is_weekend
2025-03-22,East,Home & Kitchen,Online,6,69.06,414.36,3,Mar,1,Saturday,True
2025-08-12,North,Home & Kitchen,In-Store,5,83.66,418.3,8,Aug,3,Tuesday,False
2025-06-09,South,Electronics,In-Store,3,249.47,748.41,6,Jun,2,Monday,False
2025-09-12,South,Clothing,Online,6,45.43,272.58,9,Sep,3,Friday,False
2025-08-28,West,Sports,Online,6,67.7,406.2,8,Aug,3,Thursday,False
2025-09-16,West,Clothing,Online,2,47.47,94.94,9,Sep,3,Tuesday,False
2025-05-27,West,Home & Kitchen,Online,1,80.72,80.72,5,May,2,Tuesday,False
2025-02-08,South,Sports,In-Store,1,53.72,53.72,2,Feb,1,Saturday,True
2025-05-31,East,Sports,Online,4,55.2,220.8,5,May,2,Saturday,True
2025-04-22,North,Clothing,Online,1,39.93,39.93,4,Apr,2,Tuesday,False
2025-05-20,North,Beauty,Online,1,28.85,28.85,5,May,2,Tuesday,False
2025-05-27,West,Sports,In-Store,6,69.72,418.32,5,May,2,Tuesday,False
2025-04-26,East,Beauty,In-Store,4,32.47,129.88,4,Apr,2,Saturday,True
2025-04-22,South,Beauty,In-Store,2,27.43,54.86,4,Apr,2,Tuesday,False
2025-12-04,South,Home & Kitchen,In-Store,1,73.63,73.63,12,Dec,4,Thursday,False
2025-03-09,North,Clothing,Online,7,51.23,358.61,3,Mar,1,Sunday,True
2025-05-08,North,Clothing,Online,6,43.02,258.12,5,May,2,Thursday,False
2025-08-26,South,Beauty,Online,6,36.37,218.22,8,Aug,3,Tuesday,False
2025-01-27,South,Clothing,Online,7,47.12,329.84,1,Jan,1,Monday,False
2025-11-13,West,Electronics,Online,1,216.86,216.86,11,Nov,4,Thursday,False
2025-06-21,West,Clothing,Online,6,44.91,269.46,6,Jun,2,Saturday,True
2025-08-21,North,Beauty,Online,5,32.37,161.85,8,Aug,3,Thursday,False
2025-07-07,North,Electronics,Online,7,239.35,1675.45,7,Jul,3,Monday,False
2025-11-19,West,Clothing,Online,6,50.78,304.68,11,Nov,4,Wednesday,False
2025-12-26,South,Electronics,Online,6,248.36,1490.16,12,Dec,4,Friday,False
2025-05-07,East,Electronics,Online,1,226.16,226.16,5,May,2,Wednesday,False
2025-09-03,West,Home & Kitchen,Online,2,93.92,187.84,9,Sep,3,Wednesday,False
2025-01-13,West,Clothing,Online,5,41.75,208.75,1,Jan,1,Monday,False
2025-09-21,West,Clothing,Online,3,44.33,132.99,9,Sep,3,Sunday,True
2025-04-02,South,Electronics,Online,6,245.32,1471.92,4,Apr,2,Wednesday,False
2025-07-05,East,Beauty,In-Store,2,25.87,51.74,7,Jul,3,Saturday,True
2025-06-29,South,Sports,Online,4,58.84,235.36,6,Jun,2,Sunday,True
2025-09-21,North,Electronics,In-Store,7,221.03,1547.21,9,Sep,3,Sunday,True
2025-12-31,West,Clothing,Online,7,40.74,285.18,12,Dec,4,Wednesday,False
2025-05-24,North,Beauty,In-Store,3,35.04,105.12,5,May,2,Saturday,True
2025-11-15,East,Clothing,Online,5,41.57,207.85,11,Nov,4,Saturday,True
2025-11-14,East,Clothing,In-Store,1,41.37,41.37,11,Nov,4,Friday,False
2025-01-01,East,Electronics,Online,1,278.52,278.52,1,Jan,1,Wednesday,False
2025-09-29,North,Home & Kitchen,Online,6,91.36,548.16,9,Sep,3,Monday,False
2025-03-17,South,Clothing,In-Store,1,44.4,44.4,3,Mar,1,Monday,False
2025-08-08,North,Electronics,Online,6,282.87,1697.22,8,Aug,3,Friday,False
2025-07-23,West,Electronics,Online,7,247.13,1729.91,7,Jul,3,Wednesday,False
2025-09-11,South,Home & Kitchen,Online,6,88.32,529.92,9,Sep,3,Thursday,False
2025-10-17,West,Clothing,Online,2,47.27,94.54,10,Oct,4,Friday,False
2025-11-21,North,Electronics,Online,7,306.93,2148.51,11,Nov,4,Friday,False
2025-06-09,East,Sports,In-Store,3,66.44,199.32,6,Jun,2,Monday,False
2025-06-28,East,Beauty,Online,1,33.32,33.32,6,Jun,2,Saturday,True
2025-02-12,West,Electronics,Online,6,214.32,1285.92,2,Feb,1,Wednesday,False
2025-08-30,East,Clothing,In-Store,5,53.46,267.3,8,Aug,3,Saturday,True
2025-03-31,South,Sports,Online,4,67.63,270.52,3,Mar,1,Monday,False
2025-04-24,North,Beauty,Online,1,35.14,35.14,4,Apr,2,Thursday,False
2025-09-06,West,Electronics,In-Store,3,311.55,934.65,9,Sep,3,Saturday,True
2025-02-05,South,Electronics,Online,7,305.58,2139.06,2,Feb,1,Wednesday,False
2025-02-06,West,Clothing,In-Store,1,42.54,42.54,2,Feb,1,Thursday,False
2025-10-13,North,Clothing,Online,1,44.01,44.01,10,Oct,4,Monday,False
2025-07-06,East,Clothing,Online,1,53.5,53.5,7,Jul,3,Sunday,True
2025-09-22,East,Beauty,In-Store,4,32.38,129.52,9,Sep,3,Monday,False
2025-05-24,North,Electronics,Online,4,279.75,1119.0,5,May,2,Saturday,True
2025-02-22,East,Sports,Online,5,62.87,314.35,2,Feb,1,Saturday,True
2025-08-11,South,Clothing,In-Store,3,50.95,152.85,8,Aug,3,Monday,False
2025-08-27,West,Home & Kitchen,In-Store,1,71.24,71.24,8,Aug,3,Wednesday,False
2025-01-07,South,Home & Kitchen,Online,2,96.54,193.08,1,Jan,1,Tuesday,False
2025-07-13,North,Clothing,Online,5,44.92,224.6,7,Jul,3,Sunday,True
2025-05-25,East,Beauty,Online,4,30.02,120.08,5,May,2,Sunday,True
2025-10-02,North,Clothing,In-Store,2,54.56,109.12,10,Oct,4,Thursday,False
2025-02-08,South,Clothing,Online,4,48.54,194.16,2,Feb,1,Saturday,True
2025-05-28,West,Sports,In-Store,7,68.91,482.37,5,May,2,Wednesday,False
2025-12-14,South,Clothing,Online,1,53.88,53.88,12,Dec,4,Sunday,True
2025-04-27,South,Sports,In-Store,5,52.04,260.2,4,Apr,2,Sunday,True
2025-05-29,West,Clothing,In-Store,5,42.8,214.0,5,May,2,Thursday,False
2025-05-27,West,Electronics,Online,1,282.07,282.07,5,May,2,Tuesday,False
2025-01-01,North,Home & Kitchen,Online,7,69.45,486.15,1,Jan,1,Wednesday,False
2025-01-12,South,Beauty,In-Store,4,26.78,107.12,1,Jan,1,Sunday,True
2025-01-08,South,Electronics,Online,2,235.44,470.88,1,Jan,1,Wednesday,False
2025-01-28,West,Clothing,Online,3,50.82,152.46,1,Jan,1,Tuesday,False
2025-05-25,North,Clothing,In-Store,4,43.13,172.52,5,May,2,Sunday,True
2025-02-15,East,Sports,In-Store,5,65.72,328.6,2,Feb,1,Saturday,True
2025-01-10,West,Sports,Online,5,51.63,258.15,1,Jan,1,Friday,False
2025-10-16,South,Sports,In-Store,1,60.04,60.04,10,Oct,4,Thursday,False
2025-10-09,East,Clothing,In-Store,1,53.34,53.34,10,Oct,4,Thursday,False
2025-04-08,North,Clothing,Online,7,53.82,376.74,4,Apr,2,Tuesday,False
2025-07-16,East,Home & Kitchen,In-Store,7,92.61,648.27,7,Jul,3,Wednesday,False
2025-06-14,South,Sports,Online,6,55.92,335.52,6,Jun,2,Saturday,True
2025-01-01,East,Electronics,Online,1,279.67,279.67,1,Jan,1,Wednesday,False
2025-10-15,South,Clothing,Online,2,47.22,94.44,10,Oct,4,Wednesday,False
2025-04-28,East,Clothing,In-Store,6,55.67,334.02,4,Apr,2,Monday,False
2025-08-10,East,Clothing,Online,7,45.82,320.74,8,Aug,3,Sunday,True
2025-08-17,North,Home & Kitchen,In-Store,7,72.36,506.52,8,Aug,3,Sunday,True
2025-09-09,South,Clothing,Online,6,48.24,289.44,9,Sep,3,Tuesday,False
2025-11-04,North,Clothing,In-Store,4,43.61,174.44,11,Nov,4,Tuesday,False
2025-04-16,East,Home & Kitchen,In-Store,2,97.65,195.3,4,Apr,2,Wednesday,False
2025-11-26,North,Electronics,Online,2,274.58,549.16,11,Nov,4,Wednesday,False
2025-07-24,South,Home & Kitchen,Online,3,85.19,255.57,7,Jul,3,Thursday,False
2025-05-31,East,Home & Kitchen,Online,4,73.82,295.28,5,May,2,Saturday,True
2025-07-03,North,Sports,Online,5,74.35,371.75,7,Jul,3,Thursday,False
2025-03-02,South,Electronics,In-Store,2,240.36,480.72,3,Mar,1,Sunday,True
2025-11-13,South,Electronics,Online,1,248.1,248.1,11,Nov,4,Thursday,False
2025-02-15,South,Electronics,Online,3,216.43,649.29,2,Feb,1,Saturday,True
2025-09-06,East,Home & Kitchen,Online,6,73.02,438.12,9,Sep,3,Saturday,True
2025-02-17,North,Electronics,In-Store,1,272.23,272.23,2,Feb,1,Monday,False
2025-06-29,East,Clothing,In-Store,6,49.38,296.28,6,Jun,2,Sunday,True
2025-03-19,West,Home & Kitchen,Online,3,76.08,228.24,3,Mar,1,Wednesday,False
2025-01-07,East,Sports,Online,7,51.73,362.11,1,Jan,1,Tuesday,False
2025-10-01,South,Clothing,Online,1,47.455,47.46,10,Oct,4,Wednesday,False
2025-01-28,South,Home & Kitchen,In-Store,6,78.48,470.88,1,Jan,1,Tuesday,False
2025-10-27,North,Sports,Online,4,59.52,238.08,10,Oct,4,Monday,False
2025-08-21,North,Clothing,Online,6,48.81,292.86,8,Aug,3,Thursday,False
2025-09-21,West,Clothing,Online,1,44.32,44.32,9,Sep,3,Sunday,True
2025-06-29,South,Home & Kitchen,Online,3,99.57,298.71,6,Jun,2,Sunday,True
2025-08-17,North,Electronics,Online,6,249.04,1494.24,8,Aug,3,Sunday,True
2025-04-22,West,Sports,Online,6,55.16,330.96,4,Apr,2,Tuesday,False
2025-11-07,North,Electronics,Online,5,310.74,1553.7,11,Nov,4,Friday,False
2025-08-11,South,Clothing,In-Store,4,38.35,153.4,8,Aug,3,Monday,False
2025-04-28,North,Clothing,In-Store,6,54.98,329.88,4,Apr,2,Monday,False
2025-12-01,East,Home & Kitchen,Online,4,74.56,298.24,12,Dec,4,Monday,False
2025-04-28,West,Clothing,Online,1,47.79,47.79,4,Apr,2,Monday,False
2025-01-01,South,Sports,Online,6,54.7,328.2,1,Jan,1,Wednesday,False
2025-12-22,North,Clothing,Online,2,46.43,92.86,12,Dec,4,Monday,False
2025-09-18,East,Clothing,Online,2,39.83,79.66,9,Sep,3,Thursday,False
2025-11-15,North,Electronics,Online,7,259.66,1817.62,11,Nov,4,Saturday,True
2025-04-04,East,Beauty,In-Store,4,30.4,121.6,4,Apr,2,Friday,False
2025-05-17,South,Electronics,Online,6,217.31,1303.86,5,May,2,Saturday,True
2025-12-15,West,Sports,In-Store,4,54.93,219.72,12,Dec,4,Monday,False
2025-08-01,North,Sports,In-Store,2,72.79,145.58,8,Aug,3,Friday,False
2025-03-30,North,Home & Kitchen,In-Store,7,90.84,635.88,3,Mar,1,Sunday,True
2025-10-15,East,Home & Kitchen,Online,7,84.09,588.63,10,Oct,4,Wednesday,False
2025-06-02,North,Sports,Online,6,52.6,315.6,6,Jun,2,Monday,False
2025-04-14,East,Clothing,Online,3,49.55,148.65,4,Apr,2,Monday,False
2025-02-11,West,Electronics,In-Store,1,265.85,265.85,2,Feb,1,Tuesday,False
2025-08-19,East,Sports,Online,1,67.97,67.97,8,Aug,3,Tuesday,False
2025-10-16,South,Electronics,In-Store,5,300.18,1500.9,10,Oct,4,Thursday,False
2025-12-19,South,Sports,Online,4,61.97,247.88,12,Dec,4,Friday,False
2025-07-03,East,Sports,Online,7,60.81,425.67,7,Jul,3,Thursday,False
2025-06-22,South,Electronics,Online,4,266.77,1067.08,6,Jun,2,Sunday,True
2025-10-26,East,Clothing,Online,2,44.42,88.84,10,Oct,4,Sunday,True
2025-05-14,West,Clothing,Online,3,41.01,123.03,5,May,2,Wednesday,False
2025-05-21,West,Clothing,Online,7,51.32,359.24,5,May,2,Wednesday,False
2025-06-20,West,Electronics,In-Store,5,304.75,1523.75,6,Jun,2,Friday,False
2025-11-24,East,Electronics,Online,2,219.39,438.78,11,Nov,4,Monday,False
2025-02-20,North,Electronics,In-Store,3,257.58,772.74,2,Feb,1,Thursday,False
2025-10-29,North,Beauty,In-Store,6,35.55,213.3,10,Oct,4,Wednesday,False
2025-01-01,East,Clothing,Online,7,45.43,318.01,1,Jan,1,Wednesday,False
2025-11-05,North,Electronics,In-Store,2,245.85,491.7,11,Nov,4,Wednesday,False
2025-03-04,West,Clothing,In-Store,2,46.63,93.26,3,Mar,1,Tuesday,False
2025-12-13,North,Home & Kitchen,Online,3,72.51,217.53,12,Dec,4,Saturday,True
2025-06-01,North,Clothing,Online,1,44.77,44.77,6,Jun,2,Sunday,True
2025-03-04,East,Home & Kitchen,Online,5,83.07,415.35,3,Mar,1,Tuesday,False
2025-12-03,West,Clothing,Online,6,39.79,238.74,12,Dec,4,Wednesday,False
2025-07-08,West,Clothing,Online,5,45.4,227.0,7,Jul,3,Tuesday,False
2025-07-30,South,Electronics,Online,5,250.27,1251.35,7,Jul,3,Wednesday,False
2025-05-24,West,Home & Kitchen,Online,3,82.51,247.53,5,May,2,Saturday,True
2025-07-13,South,Clothing,Online,6,47.455,284.73,7,Jul,3,Sunday,True
2025-05-12,North,Clothing,Online,3,44.97,134.91,5,May,2,Monday,False
2025-06-11,West,Sports,In-Store,2,71.81,143.62,6,Jun,2,Wednesday,False
2025-01-08,North,Home & Kitchen,Online,7,89.5,626.5,1,Jan,1,Wednesday,False
2025-11-24,South,Clothing,Online,3,50.0,150.0,11,Nov,4,Monday,False
2025-09-21,South,Sports,In-Store,6,70.93,425.58,9,Sep,3,Sunday,True
2025-06-14,South,Electronics,Online,2,213.8,427.6,6,Jun,2,Saturday,True
2025-09-20,North,Electronics,Online,5,300.14,1500.7,9,Sep,3,Saturday,True
2025-10-12,West,Home & Kitchen,In-Store,5,78.94,394.7,10,Oct,4,Sunday,True
2025-08-22,East,Clothing,Online,4,53.2,212.8,8,Aug,3,Friday,False
2025-10-20,South,Sports,Online,5,58.07,290.35,10,Oct,4,Monday,False
2025-12-08,West,Electronics,In-Store,3,301.96,905.88,12,Dec,4,Monday,False
2025-05-08,West,Clothing,Online,6,51.6,309.6,5,May,2,Thursday,False
2025-08-25,North,Electronics,Online,3,254.67,764.01,8,Aug,3,Monday,False
2025-06-03,South,Beauty,In-Store,5,31.23,156.15,6,Jun,2,Tuesday,False
2025-05-26,West,Electronics,Online,6,219.22,1315.32,5,May,2,Monday,False
2025-06-14,North,Clothing,In-Store,5,38.45,192.25,6,Jun,2,Saturday,True
2025-01-27,North,Electronics,In-Store,2,272.55,545.1,1,Jan,1,Monday,False
2025-11-05,East,Home & Kitchen,In-Store,5,80.26,401.3,11,Nov,4,Wednesday,False
2025-05-02,South,Electronics,Online,3,230.94,692.82,5,May,2,Friday,False
2025-06-30,West,Sports,Online,3,57.93,173.79,6,Jun,2,Monday,False
2025-06-13,North,Home & Kitchen,Online,6,83.23,499.38,6,Jun,2,Friday,False
2025-04-21,West,Beauty,In-Store,1,28.74,28.74,4,Apr,2,Monday,False
2025-08-27,West,Electronics,In-Store,1,262.14,262.14,8,Aug,3,Wednesday,False
2025-12-31,East,Clothing,In-Store,5,44.45,222.25,12,Dec,4,Wednesday,False
2025-10-23,North,Clothing,In-Store,2,46.52,93.04,10,Oct,4,Thursday,False
2025-10-18,East,Electronics,Online,3,239.71,719.13,10,Oct,4,Saturday,True
2025-12-20,West,Clothing,Online,3,55.57,166.71,12,Dec,4,Saturday,True
2025-01-17,South,Home & Kitchen,Online,4,85.34,341.36,1,Jan,1,Friday,False
2025-08-04,East,Home & Kitchen,In-Store,7,91.17,638.19,8,Aug,3,Monday,False
2025-07-17,West,Electronics,Online,7,281.82,1972.74,7,Jul,3,Thursday,False
2025-12-31,South,Electronics,In-Store,7,312.44,2187.08,12,Dec,4,Wednesday,False
2025-10-09,North,Clothing,Online,7,50.8,355.6,10,Oct,4,Thursday,False
2025-05-17,East,Beauty,In-Store,7,35.04,245.28,5,May,2,Saturday,True
2025-08-11,South,Electronics,Online,3,295.39,886.17,8,Aug,3,Monday,False
2025-09-30,South,Home & Kitchen,Online,4,83.39,333.56,9,Sep,3,Tuesday,False
2025-05-11,North,Clothing,Online,7,39.43,276.01,5,May,2,Sunday,True
2025-01-15,West,Clothing,In-Store,1,51.53,51.53,1,Jan,1,Wednesday,False
2025-06-10,West,Clothing,In-Store,2,38.69,77.38,6,Jun,2,Tuesday,False
2025-06-19,South,Electronics,In-Store,5,250.9,1254.5,6,Jun,2,Thursday,False
2025-04-06,East,Electronics,Online,5,289.22,1446.1,4,Apr,2,Sunday,True
2025-11-14,North,Clothing,Online,4,55.96,223.84,11,Nov,4,Friday,False
2025-09-23,South,Clothing,Online,5,51.43,257.15,9,Sep,3,Tuesday,False
2025-06-26,East,Clothing,Online,2,43.58,87.16,6,Jun,2,Thursday,False
2025-10-20,North,Electronics,In-Store,7,255.28,1786.96,10,Oct,4,Monday,False
2025-11-01,North,Home & Kitchen,Online,2,93.54,187.08,11,Nov,4,Saturday,True
2025-07-17,East,Sports,In-Store,3,72.69,218.07,7,Jul,3,Thursday,False
2025-08-14,North,Home & Kitchen,Online,4,94.81,379.24,8,Aug,3,Thursday,False
2025-11-06,North,Sports,Online,3,55.24,165.72,11,Nov,4,Thursday,False
2025-08-06,North,Electronics,In-Store,6,292.58,1755.48,8,Aug,3,Wednesday,False
2025-02-23,East,Electronics,Online,4,311.99,1247.96,2,Feb,1,Sunday,True
2025-03-02,East,Clothing,In-Store,6,56.18,337.08,3,Mar,1,Sunday,True
2025-01-03,West,Clothing,Online,5,47.92,239.6,1,Jan,1,Friday,False
2025-11-25,West,Home & Kitchen,Online,1,83.07,83.07,11,Nov,4,Tuesday,False
2025-05-03,West,Clothing,Online,2,53.77,107.54,5,May,2,Saturday,True
2025-01-09,East,Home & Kitchen,Online,3,77.0,231.0,1,Jan,1,Thursday,False
2025-05-04,East,Electronics,In-Store,2,265.76,531.52,5,May,2,Sunday,True
2025-02-06,West,Electronics,In-Store,5,297.62,1488.1,2,Feb,1,Thursday,False
2025-02-09,North,Clothing,Online,2,48.53,97.06,2,Feb,1,Sunday,True
2025-02-09,South,Clothing,In-Store,1,54.07,54.07,2,Feb,1,Sunday,True
2025-05-27,West,Home & Kitchen,In-Store,3,83.07,249.21,5,May,2,Tuesday,False
2025-09-26,East,Electronics,In-Store,4,274.36,1097.44,9,Sep,3,Friday,False
2025-07-07,East,Sports,In-Store,1,51.7,51.7,7,Jul,3,Monday,False
2025-01-23,South,Electronics,Online,6,303.37,1820.22,1,Jan,1,Thursday,False
2025-03-23,West,Home & Kitchen,In-Store,4,68.2,272.8,3,Mar,1,Sunday,True
2025-08-12,North,Home & Kitchen,In-Store,1,71.71,71.71,8,Aug,3,Tuesday,False
2025-12-20,West,Electronics,In-Store,6,240.83,1444.98,12,Dec,4,Saturday,True
2025-03-15,North,Beauty,Online,4,27.65,110.6,3,Mar,1,Saturday,True
2025-02-06,North,Sports,Online,4,52.63,210.52,2,Feb,1,Thursday,False
2025-08-07,West,Home & Kitchen,Online,2,83.15,166.3,8,Aug,3,Thursday,False
2025-01-22,South,Electronics,In-Store,6,309.85,1859.1,1,Jan,1,Wednesday,False
2025-10-12,West,Home & Kitchen,Online,5,80.28,401.4,10,Oct,4,Sunday,True
2025-01-29,East,Sports,Online,3,57.06,171.18,1,Jan,1,Wednesday,False
2025-01-26,South,Electronics,In-Store,1,222.72,222.72,1,Jan,1,Sunday,True
2025-02-08,East,Sports,In-Store,4,71.16,284.64,2,Feb,1,Saturday,True
2025-06-24,South,Electronics,Online,3,307.59,922.77,6,Jun,2,Tuesday,False
2025-08-24,West,Clothing,In-Store,5,49.74,248.7,8,Aug,3,Sunday,True
2025-09-19,East,Electronics,In-Store,1,244.57,244.57,9,Sep,3,Friday,False
2025-01-15,South,Electronics,Online,1,283.99,283.99,1,Jan,1,Wednesday,False
2025-10-01,East,Clothing,Online,4,41.59,166.36,10,Oct,4,Wednesday,False
2025-05-25,North,Sports,In-Store,6,63.73,382.38,5,May,2,Sunday,True
2025-07-18,East,Sports,Online,4,74.22,296.88,7,Jul,3,Friday,False
2025-02-15,East,Clothing,Online,1,49.18,49.18,2,Feb,1,Saturday,True
2025-12-06,West,Home & Kitchen,Online,4,70.05,280.2,12,Dec,4,Saturday,True
2025-04-27,South,Sports,Online,5,54.59,272.95,4,Apr,2,Sunday,True
2025-10-04,South,Home & Kitchen,Online,7,87.2,610.4,10,Oct,4,Saturday,True
2025-02-01,East,Home & Kitchen,In-Store,6,97.05,582.3,2,Feb,1,Saturday,True
2025-09-24,South,Home & Kitchen,Online,4,99.57,398.28,9,Sep,3,Wednesday,False
2025-06-09,East,Clothing,Online,4,44.48,177.92,6,Jun,2,Monday,False
2025-08-30,West,Electronics,Online,1,247.56,247.56,8,Aug,3,Saturday,True
2025-03-18,West,Clothing,Online,6,48.47,290.82,3,Mar,1,Tuesday,False
2025-06-23,South,Sports,Online,7,67.09,469.63,6,Jun,2,Monday,False
2025-12-26,East,Electronics,In-Store,1,306.12,306.12,12,Dec,4,Friday,False
2025-12-25,East,Clothing,In-Store,2,49.51,99.02,12,Dec,4,Thursday,False
2025-03-25,South,Home & Kitchen,Online,3,96.63,289.89,3,Mar,1,Tuesday,False
2025-11-10,South,Clothing,Online,1,41.2,41.2,11,Nov,4,Monday,False
2025-01-14,East,Home & Kitchen,Online,4,73.11,292.44,1,Jan,1,Tuesday,False
2025-10-28,East,Electronics,In-Store,4,286.93,1147.72,10,Oct,4,Tuesday,False
2025-08-09,East,Clothing,Online,4,48.25,193.0,8,Aug,3,Saturday,True
2025-07-30,South,Clothing,Online,3,49.96,149.88,7,Jul,3,Wednesday,False
2025-07-21,East,Home & Kitchen,Online,7,74.51,521.57,7,Jul,3,Monday,False
2025-11-28,North,Sports,In-Store,5,71.31,356.55,11,Nov,4,Friday,False
2025-10-20,West,Home & Kitchen,In-Store,4,69.28,277.12,10,Oct,4,Monday,False
2025-06-26,East,Home & Kitchen,Online,5,80.66,403.3,6,Jun,2,Thursday,False
2025-08-16,South,Home & Kitchen,In-Store,7,76.86,538.02,8,Aug,3,Saturday,True
2025-07-05,South,Clothing,Online,2,49.62,99.24,7,Jul,3,Saturday,True
2025-08-13,East,Sports,Online,6,55.31,331.86,8,Aug,3,Wednesday,False
2025-01-14,South,Clothing,Online,6,47.11,282.66,1,Jan,1,Tuesday,False
2025-11-14,South,Sports,Online,7,59.62,417.34,11,Nov,4,Friday,False
2025-05-10,East,Electronics,Online,1,252.4,252.4,5,May,2,Saturday,True
2025-06-12,North,Electronics,Online,4,225.59,902.36,6,Jun,2,Thursday,False
2025-10-28,East,Clothing,Online,3,46.21,138.63,10,Oct,4,Tuesday,False
2025-03-21,South,Clothing,In-Store,1,46.01,46.01,3,Mar,1,Friday,False
2025-10-03,West,Home & Kitchen,In-Store,6,73.36,440.16,10,Oct,4,Friday,False
2025-05-01,East,Home & Kitchen,In-Store,5,83.07,415.35,5,May,2,Thursday,False
2025-04-30,West,Clothing,In-Store,6,41.96,251.76,4,Apr,2,Wednesday,False
2025-11-30,South,Electronics,Online,2,216.43,432.86,11,Nov,4,Sunday,True
2025-04-29,East,Clothing,In-Store,5,40.11,200.55,4,Apr,2,Tuesday,False
2025-06-28,South,Home & Kitchen,Online,2,98.88,197.76,6,Jun,2,Saturday,True
2025-10-26,South,Beauty,Online,1,32.46,32.46,10,Oct,4,Sunday,True
2025-07-03,East,Clothing,Online,6,40.76,244.56,7,Jul,3,Thursday,False
2025-05-06,North,Electronics,In-Store,4,279.84,1119.36,5,May,2,Tuesday,False
2025-12-07,North,Home & Kitchen,Online,6,95.78,574.68,12,Dec,4,Sunday,True
2025-03-27,East,Home & Kitchen,In-Store,2,79.98,159.96,3,Mar,1,Thursday,False
2025-04-24,South,Home & Kitchen,In-Store,1,68.97,68.97,4,Apr,2,Thursday,False
2025-11-24,North,Home & Kitchen,In-Store,3,98.11,294.33,11,Nov,4,Monday,False
2025-05-22,North,Home & Kitchen,Online,6,89.05,534.3,5,May,2,Thursday,False
2025-07-11,South,Clothing,In-Store,1,53.92,53.92,7,Jul,3,Friday,False
2025-03-14,North,Home & Kitchen,In-Store,4,88.82,355.28,3,Mar,1,Friday,False
2025-04-12,South,Beauty,Online,2,34.65,69.3,4,Apr,2,Saturday,True
2025-10-06,East,Sports,Online,6,64.07,384.42,10,Oct,4,Monday,False
2025-03-30,North,Clothing,Online,7,48.39,338.73,3,Mar,1,Sunday,True
2025-11-12,North,Clothing,Online,1,46.25,46.25,11,Nov,4,Wednesday,False
2025-04-12,South,Home & Kitchen,Online,6,87.82,526.92,4,Apr,2,Saturday,True
2025-09-22,East,Clothing,In-Store,2,46.88,93.76,9,Sep,3,Monday,False
2025-04-27,North,Clothing,Online,2,47.73,95.46,4,Apr,2,Sunday,True
2025-10-27,West,Home & Kitchen,In-Store,6,91.9,551.4,10,Oct,4,Monday,False
2025-12-30,East,Clothing,In-Store,3,38.39,115.17,12,Dec,4,Tuesday,False
